Species	Family	Area.Km2	Distribution	long.min	long.max	lat.min	lat.max	Long.average	Dif.Long	Lat.average	Area.Km2	Area	Dif.Lat	N.ecoregions	Ecoregion																	
Syringodium isoetifolium	Cymodoceaceae	14882627,8	Tropical	32,56745	190	-32,89761295	34,56446301	111,283725	157,43255	0,83342503	14882627,8	148,826278	67,46207596	68	Andaman and Nicobar Islands,Andaman Sea Coral Coast,Arabian (Persian) Gulf,Arnhem Coast to Gulf of Carpenteria,Arafura Sea,Banda Sea,Bismarck Sea,Bonaparte Coast,Cargados Carajos/Tromelin Island,Central Kuroshio Current,Central Somali Coast,Chagos,Coral Sea,Delagoa,East Caroline Islands,East China Sea,Eastern India,Eastern Philippines,Exmouth to Broome,Fiji Islands,Gulf of Aden,Gulf of Oman,Gulf of Papua,Gulf of Tonkin,Halmahera,Houtman,Leeuwin,Lesser Sunda,Malacca Strait,Maldives,Mascarene Islands,New Caledonia,Ningaloo,Northeast Sulawesi,Northern and Central Red Sea,Northern Bay of Bengal,Palawan/North Borneo,Papua,Samoa Islands,Sea of Japan/East Sea,Seychelles,Shark Bay,Solomon Archipelago,Solomon Sea,South China Sea Oceanic Islands,South India and Sri Lanka,South Kuroshio,Southeast Madagascar,Southeast Papua New Guinea,Southern China,Southern Red Sea,Southern Vietnam,Sulawesi Sea/Makassar Strait,East African Coral Coast,Northern Monsoon Current Coast,Bight of Sofala/Swamp Coast,Tonga Islands,Tweed-Moreton,Vanuatu,West Caroline Islands,Western and Northern Madagascar,Western Arabian Sea,Western India,Southern Java,Western Sumatra,Torres Strait Northern Great Barrier Reef,Central and Southern Great Barrier Reef,Sunda Shelf/Java Sea																	
Thalassia hemprichii	Hydrocharitaceae	14325818,43	Tropical	31,24402807	173,0603178	-29,89323814	34,69930059	102,1521729	141,8162897	2,403031225	14325818,43	143,2581843	64,59253873	58	Andaman and Nicobar Islands,Andaman Sea Coral Coast,Arnhem Coast to Gulf of Carpenteria,Arafura Sea,Banda Sea,Bismarck Sea,Bonaparte Coast,Central Kuroshio Current,Central Somali Coast,Coral Sea,Delagoa,East Caroline Islands,East China Sea,Eastern India,Eastern Philippines,Exmouth to Broome,Gulf of Aden,Gulf of Papua,Gulf of Thailand,Gulf of Tonkin,Halmahera,Lesser Sunda,Malacca Strait,Maldives,Marshall Islands,Natal,New Caledonia,Ningaloo,Northeast Sulawesi,Northern and Central Red Sea,Northern Bay of Bengal,Palawan/North Borneo,Papua,Sea of Japan/East Sea,Seychelles,Solomon Archipelago,Solomon Sea,South China Sea Oceanic Islands,South India and Sri Lanka,South Kuroshio,Southeast Madagascar,Southeast Papua New Guinea,Southern China,Southern Red Sea,Southern Vietnam,Sulawesi Sea/Makassar Strait,East African Coral Coast,Northern Monsoon Current Coast,Bight of Sofala/Swamp Coast,Vanuatu,West Caroline Islands,Western and Northern Madagascar,Western Arabian Sea,Western India,Southern Java,Western Sumatra,Torres Strait Northern Great Barrier Reef,Central and Southern Great Barrier Reef,Sunda Shelf/Java Sea																	
Thalassia testudinum	Hydrocharitaceae	2763452,844	Tropical	-97,86716461	-58,5220605	7,89865494	33,29315519	-78,19461256	39,34510411	20,59590507	2763452,844	27,63452844	25,39450025	13	Bahamian,Bermuda,Carolinian,Chiapas-Nicaragua,Eastern Caribbean,Floridian,Guianan,Northern Gulf of Mexico,Southern Caribbean,Southern Gulf of Mexico,Southwestern Caribbean,Western Caribbean,Greater Antilles																	
Thalassodendron ciliatum	Cymodoceaceae	10543867,19	Tropical	25,70794455	171,1330871	-34,87023432	30,00152779	98,42051583	145,4251426	-2,434353265	10543867,19	105,4386719	64,87176211	51	Agulhas Bank,Arabian (Persian) Gulf,Arnhem Coast to Gulf of Carpenteria,Arafura Sea,Banda Sea,Bismarck Sea,Bonaparte Coast,Cargados Carajos/Tromelin Island,Central Somali Coast,Chagos,Coral Sea,Delagoa,East Caroline Islands,Eastern India,Eastern Philippines,Exmouth to Broome,Gulf of Aden,Gulf of Oman,Gulf of Papua,Halmahera,Lesser Sunda,Malacca Strait,Maldives,Mascarene Islands,Natal,Ningaloo,Northeast Sulawesi,Northern and Central Red Sea,Palawan/North Borneo,Papua,Seychelles,Solomon Archipelago,Solomon Sea,South China Sea Oceanic Islands,South India and Sri Lanka,Southeast Madagascar,Southeast Papua New Guinea,Southern Red Sea,Southern Vietnam,Sulawesi Sea/Makassar Strait,East African Coral Coast,Northern Monsoon Current Coast,Bight of Sofala/Swamp Coast,Vanuatu,West Caroline Islands,Western and Northern Madagascar,Western Arabian Sea,Western India,Southern Java,Torres Strait Northern Great Barrier Reef,Central and Southern Great Barrier Reef,Sunda Shelf/Java Sea																	
Thalassodendron pachyrhizum	Cymodoceaceae	186682,2378	Temperate	112,6867373	124,4430311	-36,30015447	-27,19042808	118,5648842	11,7562938	-31,74529128	186682,2378	1,866822378	9,10972639	4	Great Australian Bight,Houtman,Leeuwin,Shark Bay																	
Zostera asiatica	Zosteraceae	1367896,886	Temperate	120,19043	240,281982	29,45625124	55,95969437	180,236206	120,091552	42,70797281	1367896,886	13,67896886	26,50344313	9	Central Kuroshio Current,East China Sea,Northeastern Honshu,Northern California,Oyashio Current,Sea of Japan/East Sea,Sea of Okhotsk,Southern California Bight,Yellow Sea																	
Zostera caespitosa	Zosteraceae	716491,5755	Temperate	117,5215302	146,6068623	33,23023134	46,09930531	132,0641963	29,0853321	39,66476833	716491,5755	7,164915755	12,86907397	6	East China Sea,Northeastern Honshu,Oyashio Current,Sea of Japan/East Sea,Sea of Okhotsk,Yellow Sea																	
Zostera capensis	Zosteraceae	622694,9554	Tropical	17,22503878	45,84003878	-35,94424126	-1,66647987	31,53253878	28,615	-18,80536057	622694,9554	6,226949554	34,27776139	8	Agulhas Bank,Delagoa,Namaqua,Natal,East African Coral Coast,Northern Monsoon Current Coast,Bight of Sofala/Swamp Coast,Western and Northern Madagascar																	
Zostera caulescens	Zosteraceae	572464,8707	Temperate	119,6411174	142,9725036	32,81124308	41,97838415	131,3068105	23,3313862	37,39481362	572464,8707	5,724648707	9,16714107	5	Central Kuroshio Current,East China Sea,Northeastern Honshu,Sea of Japan/East Sea,Yellow Sea																	
Zostera chilensis	Zosteraceae	42320,65091	Temperate	-72,61428059	-71,11446647	-32,05700233	-27,90567539	-71,86437353	1,49981412	-29,98133886	42320,65091	0,423206509	4,15132694	1	Central Chile																	
Zostera geojeensis	Zosteraceae	32539,36911	Temperate	125,2324139	129,4883498	33,65982615	37,36625388	127,3603819	4,2559359	35,51304002	32539,36911	0,325393691	3,70642773	2	East China Sea,Yellow Sea																	
Zostera japonica	Zosteraceae	2461955,317	Temperate	106,062012	235,393066	8,91536477	55,95969437	170,727539	129,331054	32,43752957	2461955,317	24,61955317	47,0443296	18	Central Kuroshio Current,East China Sea,Gulf of Tonkin,Northeastern Honshu,Northern California,Oregon, Washington, Vancouver Coast and Shelf,Oyashio Current,Puget Trough/Georgia Basin,Sea of Japan/East Sea,Sea of Okhotsk,South China Sea Oceanic Islands,South Kuroshio,Southern China,Southern Vietnam,Yellow Sea,Sunda Shelf/Java Sea																	
Zostera marina	Zosteraceae	9798880,589	Temperate	-180	180	21,89098825	74,12575374	0	360	48,008371	9798880,589	97,98880589	52,23476549	51	Aleutian Islands,Baltic Sea,Black Sea,Carolinian,Celtic Seas,Central Kuroshio Current,Chukchi Sea,Cortezian,East China Sea,East Greenland Shelf,Eastern Bering Sea,Faroe Plateau,Gulf of Alaska,Gulf of Maine/Bay of Fundy,Gulf of St. Lawrence - Eastern Scotian Shelf,Hudson Complex,Magdalena Transition,Mexican Tropical Pacific,North American Pacific Fijordland,Northeastern Honshu,Northern California,Northern Grand Banks - Southern Labrador,Northern Labrador,Oregon, Washington, Vancouver Coast and Shelf,Oyashio Current,Puget Trough/Georgia Basin,Saharan Upwelling,Scotian Shelf,Sea of Japan/East Sea,Sea of Okhotsk,South European Atlantic Shelf,Southern California Bight,Southern Grand Banks - South Newfoundland,Virginian,West Greenland Shelf,Yellow Sea,North and East Iceland,South and West Iceland,North Sea,Southern Norway,Northern Norway and Finnmark,North and East Barents Sea,White Sea,Adriatic Sea,Levantine Sea,Tunisian Plateau/Gulf of Sidra,Ionian Sea,Aegean Sea,Alboran Sea,Western Mediterranean																	
Zostera muelleri	Zosteraceae	1416078,677	Temperate	114,0769046	179,4518735	-52,52929378	-8,97598266	146,7643891	65,3749689	-30,75263822	1416078,677	14,16078677	43,55331112	20	Arnhem Coast to Gulf of Carpenteria,Auckland Island,Bassian,Cape Howe,Central New Zealand,Coral Sea,Gulf of Papua,Houtman,Leeuwin,Lord Howe and Norfolk Islands,Manning-Hawkesbury,Northeastern New Zealand,Snares Island,South Australian Gulfs,South New Zealand,Three Kings-North Cape,Tweed-Moreton,Western Bassian,Torres Strait Northern Great Barrier Reef,Central and Southern Great Barrier Reef																	
Zostera nigricaulis	Zosteraceae	767187,6891	Temperate	114,0501152	152,8619105	-44,49240247	-28,90074886	133,4560129	38,8117953	-36,69657567	767187,6891	7,671876891	15,59165361	7	Bassian,Cape Howe,Great Australian Bight,Houtman,Leeuwin,Manning-Hawkesbury,South Australian Gulfs,Western Bassian																	
Zostera noltii	Zosteraceae	2967775,26	Temperate	-26,25706277	41,77663803	13,90289163	61,74512817	7,75978763	68,0337008	37,8240099	2967775,26	29,6777526	47,84223654	19	Azores Canaries Madeira,Baltic Sea,Black Sea,Cape Verde,Celtic Seas,Faroe Plateau,Saharan Upwelling,South European Atlantic Shelf,North Sea,Southern Norway,Sahelian Upwelling,Adriatic Sea,Levantine Sea,Tunisian Plateau/Gulf of Sidra,Ionian Sea,Aegean Sea,Alboran Sea,Western Mediterranean																	
Zostera pacifica	Zosteraceae	157139,2802	Tropical	-125,4597013	-119,9790947	33,90930841	49,524215	-122,719398	5,4806066	41,71676171	157139,2802	1,571392802	15,61490659	6	Northern California,Oregon, Washington, Vancouver Coast and Shelf,Puget Trough/Georgia Basin,Southern California Bight																	
Zostera polychlamys	Zosteraceae	386296,3273	Temperate	114,0496574	138,0430603	-36,30015447	-29,03333768	126,0463589	23,9934029	-32,66674608	386296,3273	3,862963273	7,26681679	4	Great Australian Bight,Houtman,Leeuwin,South Australian Gulfs																	
Zostera tasmanica	Zosteraceae	151536,3351	Temperate	141,5169633	149,3788755	-44,49240247	-37,81200027	145,4479194	7,8619122	-41,15220137	151536,3351	1,515363351	6,6804022	3	Bassian,Cape Howe,Western Bassian																	
