Species	Family	Area.Km2	Distribution	long.min	long.max	lat.min	lat.max	Long.average	Dif.Long	Lat.average	Area.Km2	Area	Dif.Lat	N.ecoregions	Ecoregion																	
Halodule uninervis	Cymodoceaceae	15062710,65	Tropical	-29,442912	182	-32,89761295	32,64549554	76,278544	211,442912	-0,126058705	15062710,65	150,6271065	65,54310849	52	Andaman and Nicobar Islands,Andaman Sea Coral Coast,Arabian (Persian) Gulf,Arnhem Coast to Gulf of Carpenteria,Arafura Sea,Banda Sea,Bismarck Sea,Bonaparte Coast,Cargados Carajos/Tromelin Island,Central Kuroshio Current,Central Somali Coast,Coral Sea,Delagoa,East Caroline Islands,East China Sea,Eastern India,Eastern Philippines,Exmouth to Broome,Fiji Islands,Gulf of Aden,Gulf of Oman,Gulf of Papua,Gulf of Thailand,Gulf of Tonkin,Halmahera,Houtman,Leeuwin,Lesser Sunda,Malacca Strait,Maldives,Mariana Islands,Mascarene Islands,Natal,New Caledonia,Ningaloo,Northeast Sulawesi,Northern and Central Red Sea,Northern Bay of Bengal,Palawan/North Borneo,Papua,Seychelles,Shark Bay,Solomon Archipelago,Solomon Sea,South China Sea Oceanic Islands,South India and Sri Lanka,South Kuroshio,Southeast Madagascar,Southeast Papua New Guinea,Southern China,Southern Red Sea,Southern Vietnam,Sulawesi Sea/Makassar Strait,East African Coral Coast,Northern Monsoon Current Coast,Bight of Sofala/Swamp Coast,Tweed-Moreton,Vanuatu,West Caroline Islands,Western and Northern Madagascar,Western Arabian Sea,Western India,Southern Java,Western Sumatra,Torres Strait Northern Great Barrier Reef,Central and Southern Great Barrier Reef,Sunda Shelf/Java Sea																	
Halodule wrightii	Cymodoceaceae	6048339,903	Tropical	-114,9606781	91,50876079	-28,52336982	35,50604248	-11,72595866	206,4694389	3,49133633	6048339,903	60,48339903	64,0294123	44	Bahamian,Bermuda,Carolinian,Chiapas-Nicaragua,Cortezian,Delagoa,Eastern Brazil,Eastern Caribbean,Eastern India,Fernando de Naronha and Atoll das Rocas,Floridian,Guianan,Gulf of Guinea Central,Gulf of Guinea Islands,Gulf of Guinea Upwelling,Gulf of Guinea West,Gulf of Oman,Mascarene Islands,Mexican Tropical Pacific,Natal,Nicoya,Northeastern Brazil,Northern Bay of Bengal,Northern Gulf of Mexico,Panama Bight,Saharan Upwelling,South India and Sri Lanka,Southeast Madagascar,Southeastern Brazil,Southern Caribbean,Southern Gulf of Mexico,Southwestern Caribbean,East African Coral Coast,Northern Monsoon Current Coast,Bight of Sofala/Swamp Coast,Virginian,Western and Northern Madagascar,Western Arabian Sea,Western Caribbean,Greater Antilles,Gulf of Guinea South,Angolan,Sahelian Upwelling																	
Halophila australis	Hydrocharitaceae	656886,1118	Temperate	114,0769046	150,0236139	-41,41110992	-29,81453581	132,0502593	35,9467093	-35,61282287	656886,1118	6,568861118	11,59657411	7	Bassian,Cape Howe,Great Australian Bight,Houtman,Leeuwin,South Australian Gulfs,Western Bassian																	
Halophila baillonis	Hydrocharitaceae	174836,4226	Tropical	-88,99104309	-33,90492168	-8,39135432	25,4466866	-61,44798239	55,08612141	8,52766614	174836,4226	1,748364226	33,83804092	9	Bahamian,Eastern Caribbean,Floridian,Guianan,Northeastern Brazil,Southern Caribbean,Southwestern Caribbean,Western Caribbean,Greater Antilles																	
Halophila beccarii	Hydrocharitaceae	1843758,915	Tropical	68,54880635	121,0623856	-0,37705243	24	94,80559598	52,51357925	11,81147379	1843758,915	18,43758915	24,37705243	14	Andaman and Nicobar Islands,Andaman Sea Coral Coast,Eastern India,Eastern Philippines,Gulf of Thailand,Gulf of Tonkin,Malacca Strait,Northern Bay of Bengal,Palawan/North Borneo,South China Sea Oceanic Islands,South India and Sri Lanka,Southern China,Southern Vietnam,Western India,Sunda Shelf/Java Sea																	
Halophila capricorni	Hydrocharitaceae	772834,0675	Tropical	141,6316365	169,8521729	-26,16699546	-8,90344429	155,7419047	28,2205364	-17,53521988	772834,0675	7,728340675	17,26355117	9	Arnhem Coast to Gulf of Carpenteria,Arafura Sea,Coral Sea,Gulf of Papua,New Caledonia,Tweed-Moreton,Vanuatu,Torres Strait Northern Great Barrier Reef,Central and Southern Great Barrier Reef																	
Halophila decipiens	Hydrocharitaceae	15312823,76	Tropical	32,360229	325,533142	-36,30015447	33,46707833	178,9466855	293,172913	-1,41653807	15312823,76	153,1282376	69,7672328	49	Andaman and Nicobar Islands,Andaman Sea Coral Coast,Arnhem Coast to Gulf of Carpenteria,Arafura Sea,Bahamian,Banda Sea,Bermuda,Bismarck Sea,Bonaparte Coast,Carolinian,Central Kuroshio Current,Chagos,Coral Sea,Cortezian,East China Sea,Eastern Brazil,Eastern Caribbean,Eastern India,Eastern Philippines,Exmouth to Broome,Fiji Islands,Floridian,Guianan,Gulf of Aden,Gulf of Papua,Gulf of Thailand,Gulf of Tonkin,Halmahera,Hawaii,Houtman,Leeuwin,Lesser Sunda,Magdalena Transition,Malacca Strait,Tuamotus,Mexican Tropical Pacific,New Caledonia,Ningaloo,Northeast Sulawesi,Northeastern Brazil,Northern and Central Red Sea,Northern Gulf of Mexico,Palawan/North Borneo,Papua,Shark Bay,Society Islands,Solomon Archipelago,Solomon Sea,South China Sea Oceanic Islands,South India and Sri Lanka,South Kuroshio,Southeast Madagascar,Southeast Papua New Guinea,Southeastern Brazil,Southern Caribbean,Southern China,Southern Gulf of Mexico,Southern Vietnam,Southwestern Caribbean,Sulawesi Sea/Makassar Strait,East African Coral Coast,Northern Monsoon Current Coast,Tweed-Moreton,Vanuatu,West Caroline Islands,Western and Northern Madagascar,Western Arabian Sea,Western Caribbean,Western India,Southern Java,Western Sumatra,Torres Strait Northern Great Barrier Reef,Central and Southern Great Barrier Reef,Sunda Shelf/Java Sea,Greater Antilles																	
Halophila engelmanni	Hydrocharitaceae	1155449,155	Tropical	-97,86716461	-61,243248	9,75568199	31,34579115	-79,55520631	36,62391661	20,55073657	1155449,155	11,55449155	21,59010916	10	Bahamian,Carolinian,Eastern Caribbean,Floridian,Guianan,Northern Gulf of Mexico,Southern Caribbean,Southern Gulf of Mexico,Western Caribbean,Greater Antilles																	
Halophila hawaiiana	Hydrocharitaceae	130279,1895	Tropical	-161,4485167	-155,8984381	19,61633183	23,2129675	-158,6734774	5,5500786	21,41464967	130279,1895	1,302791895	3,59663567	1	Hawaii																	
Halophila johnsonii	Hydrocharitaceae	43788,79497	Temperate	-80,76956341	-79,13737402	24,75802466	28,89721515	-79,95346872	1,63218939	26,82761991	43788,79497	0,43788795	4,13919049	3	Bahamian,Carolinian,Floridian																	
Halophila major	Hydrocharitaceae	31861,42983	Temperate	123,9786198	135,1678242	24,09611804	34,08316264	129,573222	11,1892044	29,08964034	31861,42983	0,318614298	9,9870446	2	Central Kuroshio Current,South Kuroshio																	
Halophila minor	Hydrocharitaceae	8363306,981	Tropical	38,25989335	172,9597014	-26,73350201	35,17977204	105,6097974	134,6998081	4,223135015	8363306,981	83,63306981	61,91327405	40	Andaman Sea Coral Coast,Arnhem Coast to Gulf of Carpenteria,Arafura Sea,Banda Sea,Bismarck Sea,Bonaparte Coast,Central Kuroshio Current,Coral Sea,East Caroline Islands,East China Sea,Eastern Philippines,Exmouth to Broome,Gulf of Papua,Gulf of Thailand,Gulf of Tonkin,Halmahera,Lesser Sunda,Malacca Strait,Mariana Islands,New Caledonia,Northeast Sulawesi,Palawan/North Borneo,Papua,Sea of Japan/East Sea,Solomon Sea,South China Sea Oceanic Islands,South Kuroshio,Southeast Papua New Guinea,Southern China,Southern Vietnam,Sulawesi Sea/Makassar Strait,East African Coral Coast,Northern Monsoon Current Coast,Bight of Sofala/Swamp Coast,Tweed-Moreton,Vanuatu,West Caroline Islands,Southern Java,Torres Strait Northern Great Barrier Reef,Central and Southern Great Barrier Reef,Sunda Shelf/Java Sea																	
Halophila nipponica	Hydrocharitaceae	554620,9793	Temperate	126,7730262	142,9725036	30,38010792	41,82008362	134,8727649	16,1994774	36,10009577	554620,9793	5,546209793	11,4399757	4	Central Kuroshio Current,East China Sea,Northeastern Honshu,Sea of Japan/East Sea																	
Halophila ovalis	Hydrocharitaceae	16840134,36	Tropical	22,030334	190	-37,17404365	34,36817607	106,015167	167,969666	-1,40293379	16840134,36	168,4013436	71,54221972	75	Agulhas Bank,Andaman and Nicobar Islands,Andaman Sea Coral Coast,Arabian (Persian) Gulf,Arnhem Coast to Gulf of Carpenteria,Arafura Sea,Banda Sea,Bismarck Sea,Bonaparte Coast,Cape Howe,Cargados Carajos/Tromelin Island,Central Kuroshio Current,Central Somali Coast,Coral Sea,Delagoa,East Caroline Islands,East China Sea,Eastern India,Eastern Philippines,Exmouth to Broome,Fiji Islands,Gilbert/Ellis Islands,Great Australian Bight,Gulf of Aden,Gulf of Oman,Gulf of Papua,Gulf of Thailand,Gulf of Tonkin,Halmahera,Houtman,Leeuwin,Lesser Sunda,Lord Howe and Norfolk Islands,Malacca Strait,Maldives,Manning-Hawkesbury,Mariana Islands,Mascarene Islands,Natal,New Caledonia,Ningaloo,Northeast Sulawesi,Northern and Central Red Sea,Northern Bay of Bengal,Palawan/North Borneo,Papua,Samoa Islands,Sea of Japan/East Sea,Seychelles,Shark Bay,Solomon Archipelago,Solomon Sea,South China Sea Oceanic Islands,South India and Sri Lanka,South Kuroshio,Southeast Madagascar,Southeast Papua New Guinea,Southern China,Southern Red Sea,Southern Vietnam,Sulawesi Sea/Makassar Strait,East African Coral Coast,Northern Monsoon Current Coast,Bight of Sofala/Swamp Coast,Tonga Islands,Tweed-Moreton,Vanuatu,West Caroline Islands,Western and Northern Madagascar,Western Arabian Sea,Western India,Southern Java,Western Sumatra,Torres Strait Northern Great Barrier Reef,Central and Southern Great Barrier Reef,Sunda Shelf/Java Sea																	
Halophila spinulosa	Hydrocharitaceae	5695942,902	Tropical	100,4410083	154,4461212	-28,02014267	16,35619354	127,4435648	54,0051129	-5,831974565	5695942,902	56,95942902	44,37633621	26	Arnhem Coast to Gulf of Carpenteria,Arafura Sea,Banda Sea,Bonaparte Coast,Coral Sea,Eastern Philippines,Exmouth to Broome,Gulf of Papua,Halmahera,Houtman,Lesser Sunda,Malacca Strait,Ningaloo,Northeast Sulawesi,Palawan/North Borneo,Papua,Shark Bay,South China Sea Oceanic Islands,Sulawesi Sea/Makassar Strait,Tweed-Moreton,West Caroline Islands,Southern Java,Western Sumatra,Torres Strait Northern Great Barrier Reef,Central and Southern Great Barrier Reef,Sunda Shelf/Java Sea																	
Halophila stipulacea	Hydrocharitaceae	2973803,592	Tropical	-62,60259492	81,08362334	-26,25411112	41,34985557	9,24051421	143,6862183	7,547872225	2973803,592	29,73803592	67,60396669	21	Arabian (Persian) Gulf,Central Somali Coast,Eastern Caribbean,Eastern India,Gulf of Aden,Gulf of Oman,Northern and Central Red Sea,Seychelles,South India and Sri Lanka,Southeast Madagascar,Southern Red Sea,East African Coral Coast,Northern Monsoon Current Coast,Bight of Sofala/Swamp Coast,Western and Northern Madagascar,Western Arabian Sea,Adriatic Sea,Levantine Sea,Ionian Sea,Aegean Sea,Western Mediterranean																	
Halophila sulawesii	Hydrocharitaceae	19652,06407	Tropical	117,9492585	119,4445879	-3,68107327	-1,82653865	118,6969232	1,4953294	-2,75380596	19652,06407	0,196520641	1,85453462	1	Sulawesi Sea/Makassar Strait																	
Halophila tricostata	Hydrocharitaceae	295674,7604	Tropical	140,8483108	152,7239142	-24,7749176	-9,63819589	146,7861125	11,8756034	-17,20655675	295674,7604	2,956747604	15,13672171	6	Arnhem Coast to Gulf of Carpenteria,Arafura Sea,Coral Sea,Tweed-Moreton,Torres Strait Northern Great Barrier Reef,Central and Southern Great Barrier Reef																	
Oceana serrulata	Cymodoceaceae	13173235,78	Tropical	31,27805463	171,1330871	-29,53022788	32,4814148	101,2055709	139,8550325	1,47559346	13173235,78	131,7323578	62,01164268	35	Andaman and Nicobar Islands,Andaman Sea Coral Coast,Arnhem Coast to Gulf of Carpenteria,Arafura Sea,Banda Sea,Bismarck Sea,Bonaparte Coast,Central Kuroshio Current,Central Somali Coast,Coral Sea,Delagoa,East Caroline Islands,East China Sea,Eastern India,Eastern Philippines,Exmouth to Broome,Gulf of Aden,Gulf of Papua,Gulf of Thailand,Gulf of Tonkin,Halmahera,Lesser Sunda,Malacca Strait,Maldives,Marshall Islands,Mascarene Islands,Natal,New Caledonia,Ningaloo,Northeast Sulawesi,Northern and Central Red Sea,Northern Bay of Bengal,Palawan/North Borneo,Papua,Seychelles,Solomon Archipelago,Solomon Sea,South China Sea Oceanic Islands,South India and Sri Lanka,South Kuroshio,Southeast Madagascar,Southeast Papua New Guinea,Southern China,Southern Red Sea,Southern Vietnam,Sulawesi Sea/Makassar Strait,East African Coral Coast,Northern Monsoon Current Coast,Bight of Sofala/Swamp Coast,Tweed-Moreton,Vanuatu,West Caroline Islands,Western and Northern Madagascar,Western Arabian Sea,Western India,Southern Java,Western Sumatra,Torres Strait Northern Great Barrier Reef,Central and Southern Great Barrier Reef,Sunda Shelf/Java Sea																	
Phyllospadix iwatensis	Zosteraceae	664289,5817	Tropical	117,5215302	148,6814547	34,14695122	54,8761494	133,1014925	31,1599245	44,51155031	664289,5817	6,642895817	20,72919818	5	Northeastern Honshu,Oyashio Current,Sea of Japan/East Sea,Sea of Okhotsk,Yellow Sea																	
